//@李知了:[给你小心心]//@一只浪鸭://@野生二次郎:转发微博	未
//@李知了:认真的吗	未
村民吃水难上难 水厂何时能建好丨党风政风前哨	未
村民家中挖出巨大乌木，价值超100万！村民：经常当柴烧	未
村民家门口，突然飞来一只神雕...	未
村民 徒手抓蛇，技术真牛！	未
村民意外挖出豕尊，专家推断，尊背上的飞禽可能是灭绝的野猪鸟！	未
村民成股东  年底发放近千万元分红   江西这个村为啥这么牛	未
村民把大蛇头砍掉了，用开水烫后发生惊人一幕！	未
村民挖到一条比手臂还粗的过山峰，现场没人敢捉！	未
村民捉到一条大鱼， 这什么鱼? 几条村人围观	未
村民捞到一只超级大贝壳，请潮汕老渔民鉴别！	未
村民有了“金屋顶”	未
村民杀猪，反被猪脚踹进开水锅里！	未
村民柴房，发现一条23斤大过山峰！结果被捉蛇人弄死了	未
村民柴房里发现23斤过山峰长达3.6米！第一次见！	未
村民注意！村干部有以下行为，举报准没错！	未
村民祭拜神高粱每个人都有向望美好生活的权利，但是，现实生活却不尽人意，才会出现各种祭拜神灵保佑的事。对于一些医学上无能为力的疾病患者，比如晚期癌症患者，他们问我去寺庙道观求神拜佛有没有用，我都说：心诚则灵。并不反对他们去试试。我们不能解决问题，不能把他们心里美好的愿景也给灭了啊！村民到寺庙道观去祭拜祈福，从来没见警察去干涉，村民到地头祭拜一株高梁，又不违反法律危害社会，派出所吃了空么，去把高梁给拔了再说了，高梁长在别人地里，属于种地人的个人财产，派出所也无权利去拔了它啊！看看去祭拜高梁的人，哪一个	未
村民祭拜神高粱每个人都有向望美好生活的权利，但是，现实生活却不尽人意，才会出现各种祭拜神灵保佑的事村民到寺庙道观去祭拜祈福，从来没见警察去干涉，村民到地头祭拜一株高梁，又不违反法律危害社会，派出所吃了空么，去把高梁给拔了再说了，高梁长在别人地里，属于种地人的个人财产，派出 ...全文	未
村民称其为四大天王汉寿这个村霸团伙被端...	未
村民联名担保20年后打老师男子这件事我还是之前的观点，一码事说一码事。男子打老师不对，不管多少人联名担保也没用，打人的事由警方依法处理。但是，能让别人20年后还记得你，并且憋着要揍你一顿，而且被打了自个一声不敢吭，还是教育局和学校报的案，这内心是有多么的心虚可见当年给别人留下了 ...全文	未
村民自制迫击炮对抗强拆！	未
村民自掏腰包修路！乐清这条路到底归谁管	未
村民花1万买天价烂石头，没想到转眼价值千万！	未
村民遇车祸脑死亡 捐献器官让4人重生2人重见光明	未
村民门口，飞来一只猛禽...	未
村民饲养母大猩猩，培养成性奴，从事卖淫生意	未
村民驾车冲撞人群并持斧砍向调解干部 致11人受伤	未
村（社区）两委换届工作什么样的人不能入选	未
村（社区）两委换届工作村（社区）两委换届选举宣传标语	未
村级选举违纪调查：前脚学换届纪律 后脚请客拉票	未
村花	未
村西边王寡妇走过了祖国的这些地方：网页链接	未
村规民约西乌珠穆沁旗：村规民约和铺张浪费说再见	未
村警故事从点点滴滴小事做起 换得村民真情相待	未
村里30多家柴火垛，2个月接连起火！	未
村里400元一桌的结婚酒席，看看这些菜过劲不！	未
村里一男一女，赶紧看看！	未
村里下雪发生的，平乡人都看看	未
村里二蛋相亲，刚见面就想抱着寡妇抡一抡	未
村里人，快回来！江津这个地方的房屋将被征收，看看有没有你家	未
村里兴产业 脱贫有底气	未
村里几个女的杀猪，看着都着急！	未
村里出个宋转转《游西湖》真硬！	未
村里出来个牛人	未
村里小伙去看病，大夫乐懵！	未
村里有个家，种瓜种菜种篱笆	未
村里有了童伴妈妈，留守孩子不再孤单	未
村里来了个卖衣服的，这衣服卖的	未
村里来了个疯丫头，没有流量也要看！	未
村里来了个陌生人	未
村里每三年失踪一人，直到一条青龙撞倒古槐树，才知道原委	未
村里用这大家伙杀猪，这场面我还第一次见	未
村里的九三力量大揭秘！科技专业的他们竟关心起了青蛙叫......	未
村里的孩子 被游戏工业捕获了	未
村里的年轻人都去哪里了	未
村里过事吃烩菜，美哩太	未
村里这对夫妻，能说啥呢	未
村里进驻了县级“全科医生”	未
村里通了产业路 游客涌进柑橘园	未
村里那个臭名昭著的清华生	未
村里钕人误食禁药，晚上全都疯了！	未
村里面粉厂的货车路过，车牌要是挂在奥迪A1上就是极品	未
村里面老实疙瘩谈对象，太逗了	未
村镇公交与两辆卡车相撞，车上有14名学生	未
村长赌博欠债600万，携母亲一起自焚！	未
村长镇长，县长全部清查！重点收拾农村苍蝇！	未
杜兰特今天左脚踝受伤，不过他表示自己会打跟湖人的圣诞大战nba吐槽大会	未
杜兰特周末现身 Larkin Street Youth service和Elizabeth House。这两个机构都是为无家可归的人们提供帮助的服务组织。本次是杜兰特慈善基金会的年度活动，他们会为那里那里的人们提供礼物和节日祝福。阿杜总是低调地为有需要的人们提供帮助，是我们爱的阿杜没错了。小声嘀咕，阿杜抱孩子的样子真好看图四那个孩子，你都穿阿杜球衣了，还装什么酷，心里一定乐成冰淇淋了吧杜兰特	未
杜兰特在近日接受采访时表示，希望能在我下一份合同中拿到更多的钱。	未
杜兰特: 库兹马担任起了詹姆斯身边第二人的角色，所以我们需要认真备战GoLakers圣诞节NBA吐槽大会	未
杜兰特怼老鹰球迷：好好看球，闭上嘴巴 不过KD又笑了	未
杜兰特，想送库里去太空NBA吐槽大会 NBA	未
杜兰特：我想决定自己想要的环境，你不能再给我看一些华而不实的东西，我只是要确保在下一份合同中我尽可能得到最多的钱你怎么看他的下一站会是哪里呢NBA吐槽大会	未
杜兰特接受采访时谈到了是否合适和詹姆斯一起打球，他表示这取决于球员类型。	未
杜兰特提前搬家至旧金山 硅谷文化让他留在勇士正在进行的这个赛季，是勇士 在奥克兰的最后一年，明年他们将举家迁至旧金山而杜兰特 去年就已经提前搬家到了旧金山，他的公寓距离勇士新球馆大通中心，只有很短的一段车程	未
杜兰特：旧金山的人挺酷的，此前从没在大城市独自生活过杜兰特近日接受采访谈到了自己在旧金山生活的感受。勇士下赛季将把主场搬到旧金山，而杜兰特是目前队内唯一住在旧金山的球员。杜兰特在旧金山租住的公寓楼与勇士在建的新主场球馆相距并不遥远。他住在一栋高楼中，从房间里可以俯瞰海湾大桥和太平洋。KD说：我喜欢待在大城市，什么都尝试一下，这里离海湾大桥很近，离球队训练馆和主场也很近。我想试一试。我以前从未独自在大城市生活过。我想更多地了解这座城市的特质。我喜欢这里的氛围，这很安静，令人放松。没有太多的喧嚣，但仍	未
杜兰特：是否合适与詹姆斯搭档要看球员类型，詹姆斯身边令人窒息的媒体关注度杜兰特在接受采访时谈到了和詹姆斯一起打球的球员是一种怎样的感觉，他很理解为何一些球星也许不愿意和勒布朗一起打球。这取决于你是何种类型的球员，如果你是凯尔-科沃尔，那么没问题。因为在老鹰时期，科沃尔虽然是大部分进攻的执行人，但他不是第一进攻选项，完全不是。所以，当他和一个可以传球可以突破让他得到空位机会的人打球时，这会使他的天赋受益。杜兰特说道。如果你是一名更加年轻的球员，比如科怀-伦纳德，让他和勒布朗凑一对实在是没有道理。	未
杜兰特第三节开始强行CARRY了！勇士vs骑士NBA	未
杜兰特（脚踝）明天可能出战对手伤情更新	未
杜兰特自曝疯狂研究3人比赛录像我爱NBA 据外媒报道，勇士球星凯文-杜兰特对篮球比赛的研究已经达到了痴迷的程度，而他最爱的三个人是乔丹科比和欧文。他们的技术太厉害了，我不知道为什么大家无法意识到这三名球员身上展现的东西，尤其是乔丹和科比，他说道，每当看他俩的比赛时，我都会想：你怎么能不意识到他们有多出色你怎么能不说他俩比其他任何球员都要更出色特别是他们的移动方式和流畅度。	未
杜兰特表示，库兹玛在詹姆斯身边充当球队第二人的角色。	未
杜华出来了，她也知道票价贵，说要降票价。我单方面决定最高票价不能超过1580！大家等一下我来处理！	未
杜华和阿里	未
杜华：废奴主义者威廉·加里森，是“战士”还是“疯子”？	未
杜华死丫头还有哇唧唧哇给我睁大狗眼看清楚	未
杜卡迪CEO透露会推出29款新车，称：电动车现在仍无法超越燃油车	未
杜卡迪这款车发布刚一年，已经第三次召回	未
杜双全：我是村里人 脱贫担责任	未
杜嘉班纳事件：当东方不再接受西方的审美“驯化”	未
杜嘉班纳事件，没想到中国公众这样看！	未
杜嘉班纳开展全球自救活动，用半价促销消除辱华视频的影响	未
杜嘉班纳打着爱中国的旗号辱华，对日本却是无比谄媚！不知道DG对北京和东京了解多少，差别竟如此之大	未
杜嘉班纳报复曝光女孩，想重回中国市场！	未
杜嘉班纳撤回道歉：感谢这些中国人，给了我们继续辱华的勇气	未
杜嘉班纳辱华事件出现转折，中国分店店员称我们这里的生意还好	未
杜嘉班纳辱华事件的另一种思考	未
杜嘉班纳辱华视频调查问卷出炉，部分受访者称可以接受道歉声明	未
杜嘉班纳道歉，有没有用中国人说了算	未
杜富国 丨危急时刻，他对战友说：你退后，让我来！	未
杜富国的战友们：他不能参加的任务，我们会帮他完成！	未
杜富国的父亲向雷患群众分赠慰问金	未
杜富国负伤一个月后，扫雷军人继续奋战在南疆扫雷一线	未
杜富国转诊陆军军医大学西南医院，接受康复治疗	未
杜德伟新专发布请宽姐做嘉宾 体会到十月怀胎感觉	未
杜德伟透露宝宝先叫的是爸爸 谈追生盼三年抱俩	未
杜总和你说晚安via ins@ dustinocanalin杜兰特	未
杜拜公主失踪！友人爆：她花7年计画逃离老爸控制33岁的阿联酋杜拜公主拉蒂法（Sheikha Latifa）在今年3月声称，自己长期遭受父亲虐待控制，实在无法忍受，决定展开逃亡计画最近，她的一名友人透露，拉蒂法花了7年时间拟定杜拜逃离计画，她日前虽搭乘游艇出逃，却随即遭到当局军舰拦截， ...全文	未
杜拜公主失踪！友人爆：她花7年计画逃离老爸控制33岁的阿联酋杜拜公主拉蒂法（Sheikha Latifa）在今年3月声称，自己长期遭受父亲虐待控制，实在无法忍受，决定展开逃亡计画。最近，她的一名友人透露，拉蒂法花了7年时间拟定「杜拜逃离计画」，她日前虽搭乘游艇出逃，却随即遭到当局军舰拦截，至今都还下落不明。ETtoday新闻云 报导：网页链接 公主的生活可能也不是很美好[吃驚](john)	未
//@杜昌博：战场上下来的都是幸存者！	未
杜月笙去世，蒋介石竟给他写了这四个字！	未
杜比视界和普通视频的画面对比。1是普通的画面，2是杜比视界的对比度。	未
杜浔古雷霞美沙西等镇这13人你认识吗请速到交管部门处理	未
杜浔警方查扣近50辆鬼火摩托车，飙车扰民何时休	未
杜浔镇召开新农合筹资城居保缴费以及全民参保扩面工作会	未
杜浔镇湖里村扫盲班重出江湖！有多少人上过扫盲夜校	未
杜海涛化身吃播主持？好好的选秀综艺怎么就变成了吃播秀	未
杜淳回应“插刀门”：爷们不该跟女孩动手	未
杜淳在老同学聂鑫重病的时候，带记者去医院看，通稿自己有情有义。结果捐款的时候就不见了........	未
杜淳工作室晒合作协议 否认网传“抢代言”一事	未
杜淳曾自曝拍《北京青年》要求加吻戏 承认有私心	未
“杜牧墓”变菜地？ 西安文物局回应：仅凭文献资料不能称之为“杜牧墓”	未
杜牧墓地被曝变成菜地 官方回应：将聘请专家认定	未
杜牧墓成了菜地当地文保部门：没有发生文物破坏近日，有媒体曝出西安司马村的杜牧墓竟然变成了菜地北青报记者从司马村村史编撰人，68岁的关山处了解到，杜牧墓是杜氏家族墓的一部分，位于司马村西南，墓土当时有七八米高1967年1968年时，为了用土给村里生产队饲养室垫圈，挖掉了部分墓土 ...全文	未
杜牧墓成了菜地文保部门：没有文物破坏现象	未
杜牧墓成菜地后续 官方：将初步编制保护和利用方案	未
“杜牧墓”成菜地，当地勿以“真假难辨”推责任	未
杜牧墓成菜地这只是冰山一角！国内频频爆出文物受损事件，中国的古迹历经磨难，能留存至今的实属不易。内忧外患，战火连绵，历朝历代的遗存如同百姓一样承受着无情的杀戮和毁灭，及上世纪五十年代，终于得来难能可贵的和平，然而自拆除北京古城墙起，到大跃进大炼钢铁，到史无前例的文革，古迹再次受难。文物古迹被损毁之事层出不穷，究竟是国人素质有待提升，还是政府相关机构监管不力而我们又能从那些已遭到破坏的文物遗迹中，得到什么启示景区和文物作为瑰丽的文明遗产，既属于国家，也属于生活在这个国家中的每一个人。作为公民，个人	未
杜牧墓成菜地 首先问题是这里还有墓葬吗还是仅仅剩下一抔黄土如果确实有文物留存，建议围栏保护起来，墓地嘛没多大，圈个几十平米就够了至于建设纪念馆，需要谨慎论证，是确有研究需求，还是确有瞻仰需求希望不要为了再建一个人造景点而大动干戈世上的遗址多了，不是都有复兴的必要，难道 ...全文	未
杜牧墓柳宗元墓变菜地相关部门的回应来了！	未
杜牧墓遗址成菜地：“文物太多”惹的祸？	未
杜特尔特一句话吓坏众人：工作太累 靠大麻提神	未
杜特尔特一句话吓坏众人：工作太累，靠大麻提神	未
杜特尔特：为一片水域起刀兵毫不足取	未
杜特尔特今日就职 南海仲裁案裁定后中菲再谈可能性更大	未
杜特尔特又开爆炸性玩笑：工作太累，要靠大麻提神	未
